Persian_Date,Gregorian_Date,Total_Cases,New_Cases,Active_Cases,Total_Recovered,New_Recovered,Total_Deaths,New_Deaths,Outpatients,Inpatients,Total_Tests,New_Tests,caseTotest,Critical,Vacc. Dose 1,Vacc. Dose 2,Vacc. Tota Dose
99/10/26,1/15/21,1318295,6485,154663,1107011,5412,56621,83,5854,631,8422554,51967,0.125,4415,NA,NA,NA
99/10/27,1/16/21,1324395,6100,154454,1113224,6213,56717,96,5592,508,8475495,52941,0.115,4394,NA,NA,NA
99/10/28,1/17/21,1330411,6016,154471,1119137,5913,56803,86,5493,523,8527307,51812,0.116,4374,NA,NA,NA
99/10/29,1/18/21,1336217,5806,153832,1125499,6362,56886,83,5220,586,8580126,52819,0.11,4348,NA,NA,NA
99/10/30,1/19/21,1342134,5917,153288,1131873,6374,56973,87,5399,518,8634553,54427,0.109,4272,NA,NA,NA
99/11/01,1/20/21,1348316,6182,153447,1137812,5939,57057,84,5342,840,8688732,54179,0.114,4214,NA,NA,NA
99/11/02,1/21/21,1354520,6204,152821,1144549,6737,57150,93,5527,677,8743951,55219,0.112,4168,NA,NA,NA
99/11/03,1/22/21,1360825,6305,151924,1151676,7127,57225,75,5716,589,8796864,52913,0.119,4134,NA,NA,NA
99/11/04,1/23/21,1367032,6207,151263,1158475,6799,57294,69,5712,495,8850251,53387,0.116,4104,NA,NA,NA
99/11/05,1/24/21,1372977,5945,150800,1164794,6319,57383,89,5508,437,8905093,54842,0.108,4090,NA,NA,NA
99/11/06,1/25/21,1379286,6309,150735,1171070,6276,57481,98,5628,681,8960186,55093,0.115,4057,NA,NA,NA
99/11/07,1/26/21,1385706,6420,150779,1177367,6297,57560,79,5830,590,9015376,55190,0.116,4038,NA,NA,NA
99/11/08,1/27/21,1392314,6608,151200,1183463,6096,57651,91,5913,695,9070167,54791,0.121,4024,NA,NA,NA
99/11/09,1/28/21,1398841,6527,151130,1189975,6512,57736,85,5981,546,9125076,54909,0.119,4018,NA,NA,NA
99/11/10,1/29/21,1405414,6573,151233,1196374,6399,57807,71,5923,650,9176899,51823,0.127,3990,NA,NA,NA
99/11/11,1/30/21,1411731,6317,150949,1202893,6519,57889,82,5811,506,9230376,53477,0.118,3964,NA,NA,NA
99/11/12,1/31/21,1417999,6268,149989,1210051,7158,57959,70,5799,469,9285288,54912,0.114,3932,NA,NA,NA
99/11/13,2/1/21,1424596,6597,150253,1216305,6254,58038,79,5780,817,9340259,54971,0.12,3896,NA,NA,NA
99/11/14,2/2/21,1431416,6820,150109,1223197,6892,58110,72,6160,660,9394967,54708,0.125,3865,NA,NA,NA
99/11/15,2/3/21,1438286,6870,150706,1229391,6194,58189,79,6169,701,9449658,54691,0.126,3838,NA,NA,NA
99/11/16,2/4/21,1445326,7040,151489,1235581,6190,58256,67,6450,590,9504930,55272,0.127,3825,NA,NA,NA
99/11/17,2/5/21,1452387,7061,152731,1241320,5739,58336,80,6386,675,9557624,52694,0.134,3819,NA,NA,NA
99/11/18,2/6/21,1459370,6983,153584,1247374,6054,58412,76,6485,498,9612033,54409,0.128,3802,NA,NA,NA
99/11/19,2/7/21,1466435,7065,154412,1253554,6180,58469,57,6521,544,9667260,55227,0.128,3789,NA,NA,NA
99/11/20,2/8/21,1473756,7321,155175,1260045,6491,58536,67,6614,707,9722969,55709,0.131,3778,NA,NA,NA
99/11/21,2/9/21,1481396,7640,155953,1266818,6773,58625,89,6943,697,9779202,56233,0.136,3762,NA,NA,NA
99/11/22,2/10/21,1488981,7585,158008,1272287,5469,58686,61,6974,611,9831993,52791,0.144,3743,NA,NA,NA
99/11/23,2/11/21,1496455,7474,158847,1278857,6570,58751,65,6922,552,9885913,53920,0.139,3735,NA,NA,NA
99/11/24,2/12/21,1503753,7298,159930,1285014,6157,58809,58,6741,557,9938625,52712,0.138,3729,NA,NA,NA
99/11/25,2/13/21,1510873,7120,160264,1291726,6712,58883,74,6542,578,9993224,54599,0.13,3720,NA,NA,NA
99/11/26,2/14/21,1518263,7390,161295,1298023,6297,58945,62,6822,568,10048871,55647,0.133,3709,NA,NA,NA
99/11/27,2/15/21,1526023,7760,162665,1304330,6307,59028,83,6976,784,10105080,56209,0.138,3704,NA,NA,NA
99/11/28,2/16/21,1534034,8011,164096,1310821,6491,59117,89,7321,690,10161499,56419,0.142,3696,NA,NA,NA
99/11/29,2/17/21,1542076,8042,165280,1317612,6791,59184,67,7298,744,10218318,56819,0.142,3684,NA,NA,NA
99/11/30,2/18/21,1550142,8066,166647,1324231,6619,59264,80,7488,578,10274529,56211,0.143,3679,NA,NA,NA
99/12/01,2/19/21,1558159,8017,167656,1331162,6931,59341,77,7339,678,10330898,56369,0.142,3669,NA,NA,NA
99/12/02,2/20/21,1566081,7922,168795,1337877,6715,59409,68,7450,472,10387561,56663,0.14,3677,NA,NA,NA
99/12/03,2/21/21,1574012,7931,169738,1344791,6914,59483,74,7357,574,10444695,57134,0.139,3689,NA,NA,NA
99/12/04,2/22/21,1582275,8263,171313,1351390,6599,59572,89,7522,741,10501415,56720,0.146,3685,NA,NA,NA
99/12/05,2/23/21,1590605,8330,172401,1358541,7151,59663,91,7548,782,10559096,57681,0.144,3696,NA,NA,NA
99/12/06,2/24/21,1598875,8270,173886,1365253,6712,59736,73,7524,746,10616717,57621,0.144,3705,NA,NA,NA
99/12/07,2/25/21,1607081,8206,174942,1372309,7056,59830,94,7519,687,10674944,58227,0.141,3712,NA,NA,NA
99/12/08,2/26/21,1615184,8103,175363,1379922,7613,59899,69,7511,592,10734375,59431,0.136,3720,NA,NA,NA
99/12/09,2/27/21,1623159,7975,176645,1386534,6612,59980,81,7557,418,10793788,59413,0.134,3729,NA,NA,NA
99/12/10,2/28/21,1631169,8010,177971,1393125,6591,60073,93,7516,494,10853008,59220,0.135,3732,NA,NA,NA
99/12/11,3/1/21,1639679,8510,179564,1399934,6809,60181,108,7698,812,10912409,59401,0.143,3737,NA,NA,NA
99/12/12,3/2/21,1648174,8495,181062,1406845,6911,60267,86,7711,784,10972109,59700,0.142,3738,NA,NA,NA
99/12/13,3/3/21,1656699,8525,182629,1413717,6872,60353,86,7761,764,11032310,60201,0.142,3747,NA,NA,NA
99/12/14,3/4/21,1665103,8404,184074,1420598,6881,60431,78,7695,709,11092900,60590,0.139,3760,NA,NA,NA
99/12/15,3/5/21,1673470,8367,184950,1428008,7410,60512,81,7665,702,11151509,58609,0.143,3767,NA,NA,NA
99/12/16,3/6/21,1681682,8212,185731,1435357,7349,60594,82,7685,527,11212921,61412,0.134,3784,NA,NA,NA
99/12/17,3/7/21,1689692,8010,186807,1442198,6841,60687,93,7440,570,11274630,61709,0.13,3795,NA,NA,NA
99/12/18,3/8/21,1698005,8313,187869,1449350,7152,60786,99,7588,725,11337942,63312,0.131,3804,NA,NA,NA
99/12/19,3/9/21,1706559,8554,188933,1456759,7409,60867,81,7757,797,11402162,64220,0.133,3811,NA,NA,NA
99/12/20,3/10/21,1715162,8603,189966,1464268,7509,60928,61,7902,701,11467053,64891,0.133,3823,NA,NA,NA
99/12/21,3/11/21,1723470,8308,191275,1471179,6911,61016,88,7592,716,11527650,60597,0.137,3818,NA,NA,NA
99/12/22,3/12/21,1731558,8088,192901,1477588,6409,61069,53,7495,593,11588441,60791,0.133,3829,NA,NA,NA
99/12/23,3/13/21,1739360,7802,193039,1485179,7591,61142,73,7317,485,11651917,63476,0.123,3836,NA,NA,NA
99/12/24,3/14/21,1746953,7593,193235,1492488,7309,61230,88,6845,748,11716210,64293,0.118,3831,NA,NA,NA
99/12/25,3/15/21,1754933,7980,194302,1499301,6813,61330,100,7017,963,11781317,65107,0.123,3839,NA,NA,NA
99/12/26,3/16/21,1763313,8380,195526,1506360,7059,61427,97,7491,889,11844528,63211,0.133,3848,NA,NA,NA
99/12/27,3/17/21,1771115,7802,195562,1514061,7701,61492,65,7132,670,11912137,67609,0.115,3859,NA,NA,NA
99/12/28,3/18/21,1778645,7530,195687,1521377,7316,61581,89,6857,673,11976428,64291,0.117,3866,NA,NA,NA
99/12/29,3/19/21,1786265,7620,195922,1528694,7317,61649,68,6863,757,12039329,62901,0.121,3879,NA,NA,NA
99/12/30,3/20/21,1793805,7540,195475,1536606,7912,61724,75,6691,849,12099761,60432,0.125,3849,NA,NA,NA
00/01/01,3/21/21,1801065,7260,196149,1543119,6513,61797,73,6603,657,12160554,60793,0.119,3858,NA,NA,NA
00/01/02,3/22/21,1808422,7357,196896,1549649,6530,61877,80,6584,773,12221274,60720,0.121,3861,NA,NA,NA
00/01/03,3/23/21,1815712,7290,197995,1555766,6117,61951,74,6541,749,12284847,63573,0.115,3865,NA,NA,NA
00/01/04,3/24/21,1823317,7605,198563,1562709,6943,62045,94,6669,936,12349804,64957,0.117,3874,NA,NA,NA
00/01/05,3/25/21,1830823,7506,198984,1569697,6988,62142,97,6714,792,12414005,64201,0.117,3889,NA,NA,NA
00/01/06,3/26/21,1838803,7980,199172,1577408,7711,62223,81,7015,965,12481917,67912,0.118,3908,NA,NA,NA
00/01/07,3/27/21,1846923,8120,199501,1585114,7706,62308,85,7305,815,12550008,68091,0.119,3921,NA,NA,NA
00/01/08,3/28/21,1855674,8751,200058,1593219,8105,62397,89,7702,1049,12618420,68412,0.128,3928,NA,NA,NA
00/01/09,3/29/21,1864984,9310,202018,1600488,7269,62478,81,8153,1157,12682968,64548,0.144,3940,NA,NA,NA
00/01/10,3/30/21,1875234,10250,203858,1608807,8319,62569,91,9211,1039,12751397,68429,0.15,3953,NA,NA,NA
00/01/11,3/31/21,1885564,10330,205566,1617333,8526,62665,96,9042,1288,12821847,70450,0.147,3970,NA,NA,NA
00/01/12,4/1/21,1897314,11750,208411,1626144,8811,62759,94,10379,1371,12893137,71290,0.165,3989,NA,NA,NA
00/01/13,4/2/21,1908974,11660,212149,1633949,7805,62876,117,10330,1330,12963778,70641,0.165,4005,NA,NA,NA
00/01/14,4/3/21,1920394,11420,214977,1642418,8469,62999,123,10360,1060,13038709,74931,0.152,4024,NA,NA,NA
00/01/15,4/4/21,1932074,11680,218345,1650569,8151,63160,161,10108,1572,13111118,72409,0.161,4057,NA,NA,NA
00/01/16,4/5/21,1945964,13890,223654,1658978,8409,63332,172,11842,2048,13183709,72591,0.191,4095,NA,NA,NA
00/01/17,4/6/21,1963394,17430,232809,1667079,8101,63506,174,15061,2369,13256820,73111,0.238,4138,NA,NA,NA
00/01/18,4/7/21,1984348,20954,244758,1675891,8812,63699,193,18635,2319,13331229,74409,0.282,4177,NA,NA,NA
00/01/19,4/8/21,2006934,22586,258480,1684570,8679,63884,185,20093,2493,13412327,81098,0.279,4221,NA,NA,NA
00/01/20,4/9/21,2029412,22478,272368,1693005,8435,64039,155,19911,2567,13494296,81969,0.274,4278,NA,NA,NA
00/01/21,4/10/21,2049078,19666,282784,1702062,9057,64232,193,17461,2205,13577057,82761,0.238,4329,NA,NA,NA
00/01/22,4/11/21,2070141,21063,294677,1710974,8912,64490,258,18283,2780,13673466,96409,0.218,4392,NA,NA,NA
00/01/23,4/12/21,2093452,23311,308604,1720084,9110,64764,274,20427,2884,13770167,96701,0.241,4440,NA,NA,NA
00/01/24,4/13/21,2118212,24760,323864,1729293,9209,65055,291,21628,3132,13866887,96720,0.256,4481,NA,NA,NA
00/01/25,4/14/21,2143794,25582,339433,1739002,9709,65359,304,22484,3098,13964570,97683,0.262,4539,361951,100691,462642
00/01/26,4/15/21,2168872,25078,354151,1749041,10039,65680,321,21705,3373,14059260,94690,0.265,4601,365160,102711,467871
00/01/27,4/16/21,2194133,25261,366628,1761497,12456,66008,328,22054,3207,14165771,106511,0.237,4652,372362,112108,484470
00/01/28,4/17/21,2215445,21312,376430,1772688,11191,66327,319,19136,2176,14277782,112011,0.19,4694,376684,121803,498487
00/01/29,4/18/21,2237089,21644,384999,1785358,12670,66732,405,18552,3092,14386423,108641,0.199,4766,389266,127594,516860
00/01/30,4/19/21,2261435,24346,396986,1797319,11961,67130,398,20445,3901,14500519,114096,0.213,4843,416084,134047,550131
00/01/31,4/20/21,2286927,25492,408871,1810531,13212,67525,395,22127,3365,14613010,112491,0.227,4911,480646,141176,621822
00/02/01,4/21/21,2311813,24886,419942,1823958,13427,67913,388,21301,3585,14739719,126709,0.196,4991,497418,143784,641202
00/02/02,4/22/21,2335905,24092,429949,1837590,13632,68366,453,20654,3438,14854140,114421,0.211,5038,518904,148298,667202
00/02/03,4/23/21,2358809,22904,439272,1850791,13201,68746,380,19481,3423,14966149,112009,0.204,5107,563810,154700,718510
00/02/04,4/24/21,2377039,18230,444514,1863405,12614,69120,374,15318,2912,15078540,112391,0.162,5156,584736,157258,741994
00/02/05,4/25/21,2396204,19165,449113,1877517,14112,69574,454,16146,3019,15195766,117226,0.163,5206,618362,165655,784017
00/02/06,4/26/21,2417230,21026,454931,1892229,14712,70070,496,17292,3734,15313657,117891,0.178,5244,652903,171210,824113
00/02/07,4/27/21,2438193,20963,460471,1907190,14961,70532,462,17577,3386,15435147,121490,0.173,5287,705147,184407,889554
00/02/08,4/28/21,2459906,21713,465859,1923081,15891,70966,434,18246,3467,15562560,127413,0.17,5338,744914,193840,938754
00/02/09,4/29/21,2479805,19899,470390,1938064,14983,71351,385,16846,3053,15693870,131310,0.152,5367,798465,204126,1002591
00/02/10,4/30/21,2499077,19272,472998,1954321,16257,71758,407,16070,3202,15830271,136401,0.141,5398,858296,209827,1068123
00/02/11,5/1/21,2516157,17080,473003,1971064,16743,72090,332,14690,2390,15961178,130907,0.13,5421,889095,211822,1100917
00/02/12,5/2/21,2534855,18698,474206,1988165,17101,72484,394,15987,2711,16101399,140221,0.133,5443,956423,218631,1175054
00/02/13,5/3/21,2555587,20732,477763,2004949,16784,72875,391,17723,3009,16240345,138946,0.149,5461,1026369,225530,1251899
